hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2,namd_rel,namd_abs,namd_rel_mc,namd_rel_q16,namd_rel_q50,namd_rel_q84,namd_abs_mc,namd_abs_q16,namd_abs_q50,namd_abs_q84
14 Her,14 Her b,2023-06-12,2,2.8099999999999996,0.065,-0.065,1523.958886975,47.6745,-47.6745,0.36819999999999997,0.006500000000000001,-0.0055,-15.554999999999978,8.862892642924205,-29.231227856523578,05d+-,-15.554999999999978,8.862892642924205,-29.231227856523578,0.09632236496681301,0.048161182483406506,,0.0990075826407344,0.15747612092516589,0.25522286044556025,,0.043209372463577735,0.06816282334899276,0.11296812716167653
14 Her,14 Her c,2023-06-12,2,14.161999999999999,5.298,-2.7264999999999997,1720.24625289,361.211984555,-328.475658635,0.4215,0.10750000000000001,-0.099,0.0,8.845905832643709,-41.08431820050078,05d+-,0.0,8.845905832643709,-41.08431820050078,0.09632236496681301,0.048161182483406506,,0.0990075826407344,0.15747612092516589,0.25522286044556025,,0.043209372463577735,0.06816282334899276,0.11296812716167653
55 Cnc,55 Cnc b,2022-05-09,5,0.1144,0.0006,-0.0006,262.92975,7.311769290000001,-7.311769290000001,0.0094,0.008,-0.008,23.0,15.0,-12.0,05+-,0.0,34.634090142517096,-34.704800820635754,0.0045815814810583125,0.04185562411070976,,0.021317670334736055,0.08813817508880248,0.32902476647861156,,0.014438886798481983,0.04500065389339422,0.09921033291347647
55 Cnc,55 Cnc c,2021-09-20,5,0.239,0.0013,-0.0013,54.029828800000004,2.320333745,-2.288333745,0.0615,0.031,-0.03,23.0,15.0,-12.0,05+-,0.0,34.634090142517096,-34.704800820635754,0.0045815814810583125,0.04185562411070976,,0.021317670334736055,0.08813817508880248,0.32902476647861156,,0.014438886798481983,0.04500065389339422,0.09921033291347647
55 Cnc,55 Cnc d,2021-09-20,5,5.5215,0.1,-0.1,1219.6235000000001,103.294550875,-63.563550875000004,0.0965,0.025,-0.025,23.0,15.0,-12.0,05+-,0.0,34.634090142517096,-34.704800820635754,0.0045815814810583125,0.04185562411070976,,0.021317670334736055,0.08813817508880248,0.32902476647861156,,0.014438886798481983,0.04500065389339422,0.09921033291347647
55 Cnc,55 Cnc e,2025-04-16,5,0.01544,9e-05,-9e-05,8.09479,0.37,-0.35,0.045,0.034,-0.03,23.0,15.0,-12.0,0,5.215000000000003,24.548932767026756,-24.56036644677762,0.0045815814810583125,0.04185562411070976,,0.021317670334736055,0.08813817508880248,0.32902476647861156,,0.014438886798481983,0.04500065389339422,0.09921033291347647
55 Cnc,55 Cnc f,2021-09-20,5,0.775,0.005,-0.005,46.87969003,3.814,-2.98758703,0.142,0.075,-0.066,23.0,15.0,-12.0,05+-,0.0,34.634090142517096,-34.704800820635754,0.0045815814810583125,0.04185562411070976,,0.021317670334736055,0.08813817508880248,0.32902476647861156,,0.014438886798481983,0.04500065389339422,0.09921033291347647
EPIC 249893012,EPIC 249893012 b,2020-02-06,3,0.047,0.005,-0.007,8.75,1.09,-1.08,0.06,0.08,-0.04,1.7999999999999972,2.7032572944505304,-3.6541072781186923,05d+-,1.7999999999999972,2.7032572944505304,-3.6541072781186923,0.0061058051135289984,0.0030529025567644992,,0.004091042220500651,0.01061842223400687,0.02585545806657536,,0.0019068095593760119,0.005205262470518746,0.012634139306091087
EPIC 249893012,EPIC 249893012 c,2020-02-06,3,0.13,0.01,-0.02,14.67,1.84,-1.89,0.07,0.08,-0.05,0.0,1.0465180361560904,-1.4849242404917498,05d+-,0.0,1.0465180361560904,-1.4849242404917498,0.0061058051135289984,0.0030529025567644992,,0.004091042220500651,0.01061842223400687,0.02585545806657536,,0.0019068095593760119,0.005205262470518746,0.012634139306091087
EPIC 249893012,EPIC 249893012 d,2020-02-06,3,0.22,0.02,-0.04,10.18,2.46,-2.42,0.15,0.21,-0.11,-1.5300000000000011,0.8229216244576394,-1.1629703349613008,05d+-,-1.5300000000000011,0.8229216244576394,-1.1629703349613008,0.0061058051135289984,0.0030529025567644992,,0.004091042220500651,0.01061842223400687,0.02585545806657536,,0.0019068095593760119,0.005205262470518746,0.012634139306091087
